character,text,start_time,end_time,location,time in ms
LUKE,do you really think were going to find a pilot here thatll take us to alderaan,"00:44:31,380","00:44:34,340", TATOOINE ,2960
BEN,well most of the best freighter pilots can be found here only watch your step this place can be a little rough,"00:44:34,420","00:44:41,300", TATOOINE ,6880
LUKE,im ready for anything,"00:44:41,390","00:44:43,140", TATOOINE ,1750
THREEPIO,come along artoo,"00:44:47,060","00:44:48,390", TATOOINE ,1330
BARTENDER,we dont serve their kind here,"00:45:38,940","00:45:42,450", TATOOINE ,3510
LUKE,what,"00:45:38,940","00:45:42,450", TATOOINE ,3510
BARTENDER,your droids theyll have to wait outside we dont want them here,"00:45:42,530","00:45:45,490", TATOOINE ,2960
LUKE,listen why dont you wait out by the speeder we dont want any trouble,"00:45:45,570","00:45:48,040", TATOOINE ,2470
THREEPIO,i heartily agree with you sir,"00:45:48,120","00:45:50,120", TATOOINE ,2000
HUMAN,he doesnt like you,"00:46:36,460","00:46:39,170", TATOOINE ,2710
LUKE,im sorry,"00:46:36,460","00:46:39,170", TATOOINE ,2710
HUMAN,i dont like you either,"00:46:41,170","00:46:44,720", TATOOINE ,3550
HUMAN,dont insult us you just watch yourself were wanted men i have the death sentence in twelve systems,"00:46:44,800","00:46:49,390", TATOOINE ,4590
LUKE,ill be careful than,"00:46:49,470","00:46:52,310", TATOOINE ,2840
HUMAN,youll be dead,"00:46:49,470","00:46:52,310", TATOOINE ,2840
BEN,this little one isnt worth the effort come let me buy you something,"00:46:52,390","00:46:56,690", TATOOINE ,4300
BEN,this is chewbacca hes firstmate on a ship that might suit our needs,"00:47:27,630","00:47:31,720", TATOOINE ,4090
THREEPIO,i dont like the look of this,"00:47:36,640","00:47:38,690", TATOOINE ,2050
HAN,han solo im captain of the millennium falcon chewie here tells me youre looking for passage to the alderaan system,"00:47:53,490","00:48:00,380", TATOOINE ,6890
BEN,yes indeed if its a fast ship,"00:48:00,460","00:48:02,790", TATOOINE ,2330
HAN,fast ship youve never heard of the millennium falcon,"00:48:02,880","00:48:06,670", TATOOINE ,3790
BEN,should i have,"00:48:06,760","00:48:08,380", TATOOINE ,1620
HAN,its the ship that made the kessel run in less than twelve parsecs,"00:48:08,470","00:48:11,640", TATOOINE ,3170
HAN,ive outrun imperial starships not the local bulkcruisers mind you im talking about the big corellian ships now shes fast enough for you old man whats the cargo,"00:48:13,640","00:48:28,070", TATOOINE ,14430
BEN,only passengers myself the boy two droids and no questions asked,"00:48:25,150","00:48:34,080", TATOOINE ,8930
HAN,what is it some kind of local trouble,"00:48:35,290","00:48:37,160", TATOOINE ,1870
BEN,lets just say wed like to avoid any imperial entanglements,"00:48:37,250","00:48:42,460", TATOOINE ,5210
HAN,well thats the trick isnt it and its going to cost you something extra ten thousand in advance,"00:48:43,880","00:48:52,260", TATOOINE ,8380
LUKE,ten thousand we could almost buy our own ship for that,"00:48:53,970","00:48:59,140", TATOOINE ,5170
HAN,but whos going to fly it kid you,"00:48:59,230","00:49:01,480", TATOOINE ,2250
LUKE,you bet i could im not such a bad pilot myself we dont have to sit here and listen,"00:49:01,560","00:49:06,150", TATOOINE ,4590
BEN,we havent that much with us but we could pay you two thousand now plus fifteen when we reach alderaan,"00:49:06,230","00:49:12,490", TATOOINE ,6260
HAN,seventeen huh,"00:49:13,240","00:49:14,450", TATOOINE ,1210
HAN,okay you guys got yourself a ship well leave as soon as youre ready docking bay ninetyfour,"00:49:18,120","00:49:24,290", TATOOINE ,6170
HAN,seventeen thousand those guys must really be desperate this could really save my neck get back to the ship and get her ready,"00:49:48,400","00:49:51,860", TATOOINE ,3460
BEN,youll have to sell your speeder,"00:49:52,950","00:49:54,990", TATOOINE ,2040
LUKE,thats okay im never coming back to this planet again,"00:49:52,950","00:49:57,120", TATOOINE ,4170
GREEDO,going somewhere solo,"00:49:58,490","00:50:00,540", MOS EISLEY ,2050
HAN,yes greedo as a matter of fact i was just going to see your boss tell jabba that ive got his money,"00:50:00,790","00:50:06,130", MOS EISLEY ,5340
GREEDO,its too late you should have paid him when you had the chance jabbas put a price on your head so large that every bounty hunter in the galaxy will be looking for you im lucky i found you first,"00:50:06,210","00:50:19,310", MOS EISLEY ,13100
HAN,yeah but this time i got the money,"00:50:19,390","00:50:21,600", MOS EISLEY ,2210
GREEDO,if you give it to me i might forget i found you,"00:50:21,680","00:50:25,270", MOS EISLEY ,3590
HAN,i dont have it with me tell jabba,"00:50:25,350","00:50:28,520", MOS EISLEY ,3170
GREEDO,jabbas through with you he has no time for smugglers who drop their shipments at the first sign of an imperial cruiser,"00:50:28,570","00:50:38,200", MOS EISLEY ,9630
HAN,even i get boarded sometimes do you think i had a choice,"00:50:36,740","00:50:40,490", MOS EISLEY ,3750
GREEDO,you can tell that to jabba he may only take your ship,"00:50:40,580","00:50:44,710", MOS EISLEY ,4130
HAN,over my dead body,"00:50:44,790","00:50:46,920", MOS EISLEY ,2130
GREEDO,thats the idea ive been looking forward to killing you for a long time,"00:50:46,960","00:50:52,210", MOS EISLEY ,5250
HAN,yes ill bet you have,"00:50:52,420","00:50:53,760", MOS EISLEY ,1340
HAN,sorry about the mess,"00:51:07,810","00:51:09,440", MOS EISLEY ,1630
VADER,her resistance to the mind probe is considerable it will be some time before we can extract any information from her,"00:51:18,820","00:51:25,370", DEATH STAR ,6550
IMPERIAL OFFICER,the final checkout is complete all systems are operational what course shall we set,"00:51:25,460","00:51:31,380", DEATH STAR ,5920
TARKIN,perhaps she would respond to an alternative form of persuasion,"00:51:31,460","00:51:34,880", DEATH STAR ,3420
VADER,what do you mean,"00:51:34,970","00:51:36,590", DEATH STAR ,1620
TARKIN,i think it is time we demonstrate the full power of this station,"00:51:36,680","00:51:39,640", DEATH STAR ,2960
TARKIN,set your course for princess leias home planet of alderaan,"00:51:39,720","00:51:42,220", DEATH STAR ,2500
TROOPER,with pleasure,"00:51:39,720","00:51:42,220", DEATH STAR ,2500
THREEPIO,lock the door artoo,"00:51:43,390","00:51:45,430", TATOOINE ,2040
