character,text,start_time,end_time,location,time in ms
THREEPIO,they arent here something must have happened to them see if theyve been captured,"01:23:30,960","01:23:35,510", DEATH STAR ,4550
THREEPIO,use the comlink oh my i forgot i turned it off,"01:24:01,080","01:24:03,040", DEATH STAR ,1960
THREEPIO,are you there sir,"01:24:07,210","01:24:09,340", DEATH STAR ,2130
THREEPIO,weve had some problems,"01:24:10,300","01:24:12,920", DEATH STAR ,2620
LUKE,will you shut up and listen to me shut down all garbage mashers on the detention level will you do you copy,"01:24:10,300","01:24:16,760", DEATH STAR ,6460
LUKE,shut down all the garbage mashers on the detention level,"01:24:16,840","01:24:23,640", DEATH STAR ,6800
THREEPIO,listen to them theyre dying artoo curse my metal body i wasnt fast enough its all my fault my poor master,"01:24:40,490","01:24:50,340", DEATH STAR ,9850
LUKE,threepio were all right,"01:24:50,420","01:24:52,000", DEATH STAR ,1580
LEIA,listen i dont know who you are or where you came from but from now on you do as i tell you okay,"01:26:03,080","01:26:08,750", DEATH STAR ,5670
HAN,look your worshipfulness lets get one thing straight i take orders from one person me,"01:26:09,670","01:26:15,340", DEATH STAR ,5670
LEIA,its a wonder youre still alive,"01:26:16,050","01:26:17,970", DEATH STAR ,1920
LEIA,will somebody get this big walking carpet out of my way,"01:26:18,050","01:26:21,260", DEATH STAR ,3210
HAN,no reward is worth this,"01:26:21,340","01:26:23,640", DEATH STAR ,2300
FIRST TROOPER,do you know whats going on,"01:26:39,110","01:26:42,410", DEATH STAR ,3300
SECOND TROOPER,maybe its another drill,"01:26:39,110","01:26:42,410", DEATH STAR ,3300
TARKIN,are they away,"01:34:32,580","01:34:33,710", DEATH STAR ,1130
RED LEADER,keep your eyes open for those fighters,"01:47:05,460","01:47:07,590", RED LEADER'S COCKP,2130
